,age,sexe,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
195,64 ans,Sexe - Total,62657,63496,64740,65140,65065,65400,66167,67204,67469,66733,67213,69049,70333,73330,78285,82260,85126,86678,88701
196,64 ans,Homme,28825,29234,30026,30467,30616,30812,31366,32151,32256,31928,32293,33218,33830,35402,38207,40337,41779,42771,43760
197,64 ans,Femme,33832,34262,34714,34673,34449,34588,34801,35053,35213,34805,34920,35831,36503,37928,40078,41923,43347,43907,44941
198,65 ans,Sexe - Total,61459,61460,62272,63523,63897,63824,64201,65019,66092,66118,65656,66179,67978,69173,72268,77163,81245,84043,85536
199,65 ans,Homme,27903,27966,28359,29159,29582,29749,29949,30517,31337,31330,31149,31556,32462,33031,34680,37443,39610,41009,41998
200,65 ans,Femme,33556,33494,33913,34364,34315,34075,34252,34502,34755,34788,34507,34623,35516,36142,37588,39720,41635,43034,43538
201,66 ans,Sexe - Total,60857,60341,60387,61202,62401,62793,62806,63282,64058,64924,65200,64700,65195,66973,68260,71320,76355,80296,83046
202,66 ans,Homme,27215,27144,27249,27638,28392,28836,29062,29342,29867,30493,30682,30525,30901,31797,32417,34041,36902,39001,40353
203,66 ans,Femme,33642,33197,33138,33564,34009,33957,33744,33940,34191,34431,34518,34175,34294,35176,35843,37279,39453,41295,42693
204,67 ans,Sexe - Total,59499,59728,59320,59419,60169,61380,61837,61955,62389,62838,63935,64289,63792,64315,66181,67392,70586,75411,79264
205,67 ans,Homme,26258,26492,26502,26632,26960,27747,28198,28474,28764,29145,29901,30091,29932,30326,31274,31859,33560,36309,38357
206,67 ans,Femme,33241,33236,32818,32787,33209,33633,33639,33481,33625,33693,34034,34198,33860,33989,34907,35533,37026,39102,40907
207,68 ans,Sexe - Total,58354,58454,58709,58287,58363,59144,60357,60898,61025,61284,61919,62976,63369,62861,63465,65243,66605,69714,74472
208,68 ans,Homme,25633,25587,25823,25839,25972,26330,27118,27615,27863,27997,28525,29316,29502,29332,29783,30692,31342,33006,35715
209,68 ans,Femme,32721,32867,32886,32448,32391,32814,33239,33283,33162,33287,33394,33660,33867,33529,33682,34551,35263,36708,38757
210,69 ans,Sexe - Total,56746,57250,57370,57570,57191,57302,58152,59416,59924,59933,60353,61001,62079,62427,61975,62579,64470,65721,68765
211,69 ans,Homme,24924,24924,24911,25142,25159,25316,25705,26524,27001,27183,27412,27937,28733,28893,28770,29236,30196,30767,32378
212,69 ans,Femme,31822,32326,32459,32428,32032,31986,32447,32892,32923,32750,32941,33064,33346,33534,33205,33343,34274,34954,36387
213,70 ans,Sexe - Total,56005,55507,56053,56180,56391,56040,56268,57193,58381,58941,58974,59298,60037,61073,61478,61033,61783,63556,64782
214,70 ans,Homme,24371,24147,24171,24167,24408,24441,24656,25104,25862,26413,26606,26789,27346,28108,28301,28183,28728,29624,30176
215,70 ans,Femme,31634,31360,31882,32013,31983,31599,31612,32089,32519,32528,32368,32509,32691,32965,33177,32850,33055,33932,34606
216,71 ans,Sexe - Total,55151,54747,54349,54838,54931,55185,54928,55182,56060,57179,57738,57862,58276,58973,60063,60454,60140,60820,62584
217,71 ans,Homme,23813,23573,23414,23433,23399,23692,23779,24003,24411,25128,25653,25944,26179,26685,27475,27683,27639,28133,29014
218,71 ans,Femme,31338,31174,30935,31405,31532,31493,31149,31179,31649,32051,32085,31918,32097,32288,32588,32771,32501,32687,33570
219,72 ans,Sexe - Total,49398,53741,53407,53018,53501,53673,53994,53800,54074,55202,56168,56573,56799,57194,57923,58971,59473,59142,59789
220,72 ans,Homme,21125,22964,22769,22629,22637,22665,22966,23052,23303,23798,24460,24965,25310,25520,26035,26797,27066,27029,27523
221,72 ans,Femme,28273,30777,30638,30389,30864,31008,31028,30748,30771,31404,31708,31608,31489,31674,31888,32174,32407,32113,32266
222,73 ans,Sexe - Total,43821,47989,52296,52032,51612,52115,52393,52742,52541,52994,53913,54895,55365,55657,56099,56794,57981,58379,58025
223,73 ans,Homme,18622,20274,22048,21906,21798,21815,21897,22222,22287,22615,23048,23686,24226,24621,24871,25383,26213,26417,26358
224,73 ans,Femme,25199,27715,30248,30126,29814,30300,30496,30520,30254,30379,30865,31209,31139,31036,31228,31411,31768,31962,31667
225,74 ans,Sexe - Total,41540,42475,46572,50785,50483,50077,50674,51041,51426,51379,51699,52598,53627,54125,54486,54885,55668,56784,57238
226,74 ans,Homme,17497,17823,19439,21160,20988,20876,20960,21110,21465,21553,21853,22283,22915,23463,23915,24160,24710,25493,25750
227,74 ans,Femme,24043,24652,27133,29625,29495,29201,29714,29931,29961,29826,29846,30315,30712,30662,30571,30725,30958,31291,31488
228,75 ans,Sexe - Total,40144,40146,41104,45098,49210,48897,48531,49232,49622,50157,49952,50265,51222,52272,52800,53201,53716,54402,55544
229,75 ans,Homme,16633,16669,17017,18583,20236,20053,19962,20124,20285,20652,20747,21035,21479,22128,22669,23153,23481,23990,24767
230,75 ans,Femme,23511,23477,24087,26515,28974,28844,28569,29108,29337,29505,29205,29230,29743,30144,30131,30048,30235,30412,30777
231,76 ans,Sexe - Total,39244,38722,38739,39636,43484,47485,47237,46957,47697,48336,48684,48470,48837,49838,50898,51416,51891,52326,52999
232,76 ans,Homme,15876,15795,15811,16158,17676,19273,19135,19089,19244,19477,19805,19918,20244,20706,21348,21888,22395,22684,23187
233,76 ans,Femme,23368,22927,22928,23478,25808,28212,28102,27868,28453,28859,28879,28552,28593,29132,29550,29528,29496,29642,29812
234,77 ans,Sexe - Total,39867,37598,37128,37174,38069,41874,45727,45488,45313,46181,46615,47047,46956,47338,48315,49374,50002,50401,50867
235,77 ans,Homme,15766,14936,14897,14949,15288,16770,18267,18177,18184,18384,18559,18918,19073,19390,19851,20509,21090,21532,21825
236,77 ans,Femme,24101,22662,22231,22225,22781,25104,27460,27311,27129,27797,28056,28129,27883,27948,28464,28865,28912,28869,29042
237,78 ans,Sexe - Total,39979,38103,35987,35540,35591,36484,40137,43858,43702,43858,44541,44916,45430,45389,45780,46786,47961,48509,48832
238,78 ans,Homme,15523,14771,14024,13991,14032,14414,15834,17245,17184,17286,17471,17641,18062,18214,18511,18999,19711,20234,20634
239,78 ans,Femme,24456,23332,21963,21549,21559,22070,24303,26613,26518,26572,27070,27275,27368,27175,27269,27787,28250,28275,28198
240,79 ans,Sexe - Total,38052,37992,36265,34308,33878,33946,34802,38344,41939,42292,42112,42684,43154,43739,43714,44061,45166,46373,46916
241,79 ans,Homme,14294,14433,13783,13113,13078,13157,13535,14884,16199,16334,16364,16470,16708,17161,17303,17587,18127,18844,19362
242,79 ans,Femme,23758,23559,22482,21195,20800,20789,21267,23460,25740,25958,25748,26214,26446,26578,26411,26474,27039,27529,27554
243,80 ans,Sexe - Total,35457,35901,35923,34363,32440,32036,32153,33010,36414,40384,40229,40041,40757,41256,41880,41884,42301,43350,44524
244,80 ans,Homme,12841,13181,13338,12797,12155,12105,12221,12611,13890,15325,15260,15302,15495,15730,16190,16314,16648,17179,17836
245,80 ans,Femme,22616,22720,22585,21566,20285,19931,19932,20399,22524,25059,24969,24739,25262,25526,25690,25570,25653,26171,26688
246,81 ans,Sexe - Total,32984,33286,33709,33726,32272,30480,30177,30321,31116,34751,38124,38085,37998,38709,39261,39939,40014,40400,41391
247,81 ans,Homme,11582,11758,12092,12246,11776,11171,11143,11296,11663,13048,14253,14190,14253,14462,14707,15187,15353,15654,16174
248,81 ans,Femme,21402,21528,21617,21480,20496,19309,19034,19025,19453,21703,23871,23895,23745,24247,24554,24752,24661,24746,25217
249,82 ans,Sexe - Total,30341,30633,31030,31425,31460,30133,28488,28256,28348,29525,32621,35860,35950,35874,36596,37156,37842,37936,38329
250,82 ans,Homme,10405,10485,10690,10990,11153,10749,10198,10181,10318,10840,11996,13167,13157,13203,13387,13662,14161,14300,14610
251,82 ans,Femme,19936,20148,20340,20435,20307,19384,18290,18075,18030,18685,20625,22693,22793,22671,23209,23494,23681,23636,23719
252,83 ans,Sexe - Total,27692,27924,28266,28680,29037,29138,27955,26435,26296,26962,27561,30396,33501,33636,33645,34385,35005,35656,35727
253,83 ans,Homme,9185,9317,9414,9612,9892,10095,9746,9245,9267,9579,9855,10917,12060,12073,12136,12340,12641,13094,13220
254,83 ans,Femme,18507,18607,18852,19068,19145,19043,18209,17190,17029,17383,17706,19479,21441,21563,21509,22045,22364,22562,22507
255,84 ans,Sexe - Total,24730,25285,25623,25951,26286,26624,26734,25691,24366,24624,24767,25412,28127,31112,31313,31365,32079,32674,33321
256,84 ans,Homme,7929,8142,8301,8394,8571,8822,8993,8720,8304,8476,8617,8885,9883,10956,11011,11092,11279,11581,12019
257,84 ans,Femme,16801,17143,17322,17557,17715,17802,17741,16971,16062,16148,16150,16527,18244,20156,20302,20273,20800,21093,21302
258,85 ans,Sexe - Total,21378,22366,22891,23196,23501,23852,24181,24340,23466,22735,22496,22538,23226,25858,28608,28878,28940,29583,30260
259,85 ans,Homme,6685,6939,7136,7285,7369,7581,7797,7959,7761,7582,7575,7643,7927,8882,9869,9954,10022,10190,10506
260,85 ans,Femme,14693,15427,15755,15911,16132,16271,16384,16381,15705,15153,14921,14895,15299,16976,18739,18924,18918,19393,19754
261,86 ans,Sexe - Total,18471,19081,20008,20487,20745,20993,21353,21758,21893,21533,20469,20305,20399,21068,23556,26122,26400,26487,27092
262,86 ans,Homme,5600,5795,6009,6186,6315,6374,6558,6814,6974,6973,6687,6672,6770,7034,7896,8790,8867,8942,9123
263,86 ans,Femme,12871,13286,13999,14301,14430,14619,14795,14944,14919,14560,13782,13633,13629,14034,15660,17332,17533,17545,17969
264,87 ans,Sexe - Total,15704,16261,16839,17667,18071,18265,18544,18882,19277,20006,19210,18207,18150,18284,18878,21144,23539,23834,23938
265,87 ans,Homme,4561,4784,4953,5149,5315,5417,5454,5604,5874,6197,6016,5769,5799,5905,6122,6871,7714,7824,7878
266,87 ans,Femme,11143,11477,11886,12518,12756,12848,13090,13278,13403,13809,13194,12438,12351,12379,12756,14273,15825,16010,16060
267,88 ans,Sexe - Total,12968,13545,14062,14590,15315,15706,15954,16250,16569,17501,17590,16873,16032,16083,16211,16733,18797,20911,21242
268,88 ans,Homme,3646,3804,3987,4134,4305,4461,4568,4612,4763,5202,5309,5140,4955,5005,5087,5267,5941,6669,6790
269,88 ans,Femme,9322,9741,10075,10456,11010,11245,11386,11638,11806,12299,12281,11733,11077,11078,11124,11466,12856,14242,14452
270,89 ans,Sexe - Total,10610,11009,11598,12027,12434,13088,13432,13636,13966,14784,15085,15237,14643,13947,14024,14184,14698,16494,18346
271,89 ans,Homme,2883,2974,3140,3307,3400,3533,3663,3764,3821,4089,4354,4465,4335,4203,4237,4312,4478,5059,5676
272,89 ans,Femme,7727,8035,8458,8720,9034,9555,9769,9872,10145,10695,10731,10772,10308,9744,9787,9872,10220,11435,12670
273,90 ans,Sexe - Total,8775,8922,9234,9670,9989,10366,10924,11262,11506,12290,12542,12834,12969,12515,11945,12041,12152,12580,14196
274,90 ans,Homme,2297,2347,2399,2506,2639,2724,2835,2955,3082,3282,3383,3589,3671,3583,3491,3533,3567,3708,4234
275,90 ans,Femme,6478,6575,6835,7164,7350,7642,8089,8307,8424,9008,9159,9245,9298,8932,8454,8508,8585,8872,9962
276,91 ans,Sexe - Total,6667,7177,7288,7519,7834,8126,8461,8902,9210,9743,10044,10389,10666,10847,10518,10042,10150,10235,10580
277,91 ans,Homme,1615,1800,1854,1876,1943,2063,2155,2230,2322,2521,2593,2714,2887,2975,2898,2812,2866,2899,3033
278,91 ans,Femme,5052,5377,5434,5643,5891,6063,6306,6672,6888,7222,7451,7675,7779,7872,7620,7230,7284,7336,7547
279,92 ans,Sexe - Total,4915,5311,5731,5843,5986,6209,6487,6760,7113,7838,7938,8167,8509,8784,8963,8740,8328,8384,8452
280,92 ans,Homme,1145,1231,1381,1430,1432,1487,1589,1665,1701,1919,1980,2017,2155,2302,2387,2334,2239,2282,2311
281,92 ans,Femme,3770,4080,4350,4413,4554,4722,4898,5095,5412,5919,5958,6150,6354,6482,6576,6406,6089,6102,6141
282,93 ans,Sexe - Total,3638,3831,4167,4517,4563,4657,4875,5098,5337,6013,6182,6333,6597,6890,7112,7314,7085,6742,6807
283,93 ans,Homme,813,857,924,1031,1062,1066,1115,1195,1252,1408,1466,1527,1577,1694,1802,1893,1844,1782,1805
284,93 ans,Femme,2825,2974,3243,3486,3501,3591,3760,3903,4085,4605,4716,4806,5020,5196,5310,5421,5241,4960,5002
285,94 ans,Sexe - Total,2578,2750,2910,3199,3471,3494,3560,3698,3925,4431,4638,4802,4954,5241,5500,5668,5830,5628,5334
286,94 ans,Homme,542,591,635,677,749,776,764,782,864,997,1025,1099,1154,1199,1289,1383,1462,1433,1371
287,94 ans,Femme,2036,2159,2275,2522,2722,2718,2796,2916,3061,3434,3613,3703,3800,4042,4211,4285,4368,4195,3963
288,95 ans,Sexe - Total,1751,1894,2053,2184,2406,2600,2604,2624,2743,3140,3292,3497,3670,3817,4058,4293,4439,4588,4423
289,95 ans,Homme,358,388,433,461,490,537,558,540,561,699,721,759,818,856,901,986,1057,1133,1097
290,95 ans,Femme,1393,1506,1620,1723,1916,2063,2046,2084,2182,2441,2571,2738,2852,2961,3157,3307,3382,3455,3326
291,96 ans,Sexe - Total,1181,1297,1395,1491,1583,1742,1883,1890,1923,2193,2289,2417,2607,2753,2898,3118,3290,3391,3502
292,96 ans,Homme,238,256,263,287,315,340,370,389,377,436,479,507,545,585,608,663,741,794,841
293,96 ans,Femme,943,1041,1132,1204,1268,1402,1513,1501,1546,1757,1810,1910,2062,2168,2290,2455,2549,2597,2661
294,97 ans,Sexe - Total,781,832,928,976,1052,1133,1225,1332,1356,1429,1526,1621,1744,1918,2056,2196,2356,2477,2572
295,97 ans,Homme,162,169,183,182,202,228,238,248,268,273,277,320,347,377,417,446,495,554,596
296,97 ans,Femme,619,663,745,794,850,905,987,1084,1088,1156,1249,1301,1397,1541,1639,1750,1861,1923,1976
297,98 ans,Sexe - Total,521,542,566,632,661,704,795,864,935,996,1004,1071,1140,1251,1417,1539,1646,1758,1848
298,98 ans,Homme,105,106,100,112,121,130,156,170,176,177,172,174,207,239,272,314,337,361,410
299,98 ans,Femme,416,436,466,520,540,574,639,694,759,819,832,897,933,1012,1145,1225,1309,1397,1438
300,99 ans et plus,Sexe - Total,678,750,836,954,1071,1125,1199,1326,1460,1498,1707,1829,1983,2189,2501,2911,3333,3839,4371
301,99 ans et plus,Homme,116,136,151,165,180,183,191,224,255,232,276,277,310,360,430,512,617,745,879
302,99 ans et plus,Femme,562,614,685,789,891,942,1008,1102,1205,1266,1431,1552,1673,1829,2071,2399,2716,3094,3492
