,age,sexe,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
44,13 ans,Femme,36907,38304,38851,39251,39452,39260,39812,40381,40536,41250,42274,42808,43379,43581,42755,41732,41485,41494,41247
45,14 ans,Sexe - Total,75794,76867,79266,80755,81333,81396,81587,82571,83337,83251,85247,87420,88547,89746,90013,88269,86763,86109,86067
46,14 ans,Homme,39085,39520,40655,41620,41866,41856,42203,42533,42709,42685,43740,44841,45498,46180,46203,45269,44642,44317,44299
47,14 ans,Femme,36709,37347,38611,39135,39467,39540,39384,40038,40628,40566,41507,42579,43049,43566,43810,43000,42121,41792,41768
48,15 ans,Sexe - Total,76540,76964,77820,80102,81435,81743,81778,82161,83127,83238,84350,87229,89383,90757,92469,92841,90273,88518,87734
49,15 ans,Homme,39294,39723,40023,41132,41981,42083,42075,42533,42855,42469,43234,44849,45922,46636,47623,47659,46373,45599,45160
50,15 ans,Femme,37246,37241,37797,38970,39454,39660,39703,39628,40272,40769,41116,42380,43461,44121,44846,45182,43900,42919,42574
51,16 ans,Sexe - Total,77836,77899,78056,78890,80827,81917,82218,82418,82886,83177,84094,84870,86759,88788,89911,91066,91653,90086,88282
52,16 ans,Homme,39869,39951,40253,40518,41446,42214,42306,42383,42885,42685,42934,43481,44595,45590,46207,46865,47066,46238,45463
53,16 ans,Femme,37967,37948,37803,38372,39381,39703,39912,40035,40001,40492,41160,41389,42164,43198,43704,44201,44587,43848,42819
54,17 ans,Sexe - Total,80430,78963,78833,78892,79458,81167,82346,82831,83039,83228,84233,84956,85622,87424,89404,90528,92103,92479,90847
55,17 ans,Homme,41424,40459,40429,40708,40853,41649,42459,42674,42742,42834,43190,43390,43873,44911,45886,46546,47413,47476,46620
56,17 ans,Femme,39006,38504,38404,38184,38605,39518,39887,40157,40297,40394,41043,41566,41749,42513,43518,43982,44690,45003,44227
57,18 ans,Sexe - Total,83867,81619,80050,79905,79631,79954,81750,83179,83756,83739,84482,85420,85965,86561,88362,90355,91845,93285,93705
58,18 ans,Homme,43166,41995,40942,40896,41051,41079,41894,42834,43098,42884,43465,43764,43845,44242,45279,46319,47174,47948,48038
