,annee,Canton,Mode,Eaux-de-vie,Vins,Bières,"Boissons alcoolisées dans les restaurants, cafés et bars",Boissons alcoolisées en petite restauration,Boissons alcoolisées dans les cantines,Boissons alcoolisées chez des privés lors d'invitations,Automobiles,"Motos, scooters et vélomoteurs",Vélos,Carburants et lubrifiants,"Train, billets et abonnements","Tram, billets et abonnements","Bus, billets et abonnements","Bateau, billets et abonnements",Transport multimodal,Services de téléphonie mobile,Assurance véhicule
Unnamed: 9,2006–2008,Zurich,Tot,8.238019489450405,56.251273024246984,8.361510303640646,75.59053565705689,6.067617150889246,0.37909465523331387,( ),210.53706207375896,( ),11.510053967140562,141.48999433879106,34.57354725599822,4.047249522742667,3.8425537978793267,3.172501021756669,72.36068831750163,64.30085372222946,101.94334420756864
Unnamed: 11,2006–2008,Zurich,Pct,0.0008621494018315626,0.00588697337414941,0.0008750733250781816,0.00791092266585628,0.0006350060841542255,3.967412685360722e-05,( ),0.022033742741530644,( ),0.0012045839604442686,0.014807626291799181,0.0036182923728361707,0.0004235646394821113,0.00040214222151206344,0.00033201789115942093,0.007572903199482014,0.006729401726333786,0.010668874156199399
Unnamed: 12,2006–2008,Berne,Tot,6.333799213914191,43.40938717874974,7.188479577522368,61.18866448169441,4.501204581556801,0.3677247612306563,( ),151.29449094341436,( ),15.413720853958868,141.45585059029668,31.197689254805894,1.8606612127142632,5.427711616185758,2.5918517049238923,70.95091361421801,57.25111557629165,101.88765483614166
Unnamed: 14,2006–2008,Berne,Pct,0.0007343997161229671,0.005033288954141715,0.0008334993236745971,0.007094784079448188,0.000521911613434909,4.2637436258780415e-05,( ),0.017542493446227773,( ),0.0017872104620365076,0.01640170978095267,0.003617350875614983,0.00021574240361400937,0.000629339474697493,0.00030052344446716817,0.00822671023459014,0.0066382279587559705,0.011813804363061868
Unnamed: 15,2006–2008,Lucerne,Tot,5.156219867051217,58.672925010541526,7.172784927262325,73.65886340642768,7.8222744721296875,( ),( ),153.99110787487078,( ),( ),148.61454548278567,22.733395615417784,( ),10.936044949846686,( ),49.55168985551966,44.61854708021148,99.63743261863746
Unnamed: 17,2006–2008,Lucerne,Pct,0.0006340647802237802,0.0072150599200826926,0.0008820435155527966,0.009057893620048397,0.0009619118020383149,( ),( ),0.01893641863393536,( ),( ),0.018275258144391203,0.0027955451602713717,( ),0.0013448148287763932,( ),0.00609341380857856,0.005486781009689179,0.012252500561332353
Unnamed: 18,2006–2008,Saint-Gall,Tot,6.165540104443541,49.390859057140375,6.775795390801559,66.74957162738514,6.878468630905455,( ),( ),129.78844937255988,( ),15.08225438891521,157.1766140982953,27.080193386841604,( ),7.536432701903703,( ),48.0922709376318,50.038771393786014,106.08126539297065
Unnamed: 20,2006–2008,Saint-Gall,Pct,0.0007455510661787604,0.005972454481805583,0.0008193445168218826,0.008071509300200065,0.0008317599974336004,( ),( ),0.015694313096376058,( ),0.0018237803419575488,0.01900615197278451,0.003274598284963869,( ),0.0009113225023123737,( ),0.005815426266819369,0.006050801508212627,0.012827586744318052
Unnamed: 21,2006–2008,Argovie,Tot,7.5434795580873875,55.23776086549907,8.466416192173769,73.03920863610678,6.119960605939133,( ),( ),237.2950361765148,( ),9.687951025940764,183.11406528449538,23.614987836770442,( ),4.8451785744705935,( ),53.8999722287169,60.35541886230812,127.22091235845541
Unnamed: 23,2006–2008,Argovie,Pct,0.0007784849576252435,0.005700521303937127,0.0008737317573209123,0.007537625680857212,0.0006315782042353211,( ),( ),0.02448878064294673,( ),0.000999793806800896,0.018897319765486274,0.0024370600680848177,( ),0.0005000210590071281,( ),0.0055624618948544365,0.006228662162291426,0.013129162186200445
Unnamed: 24,2006–2008,Tessin,Tot,5.278419515015185,42.46336699542718,6.439522596260912,48.880634945708415,1.3960973803920547,( ),( ),146.85776422212112,( ),( ),206.7922590509102,11.164232420717548,( ),4.259958620458741,( ),14.774426818932639,76.34855786231111,133.139065402209
Unnamed: 26,2006–2008,Tessin,Pct,0.0006770809775005115,0.005446921744556349,0.0008260196526081589,0.00627008671738565,0.00017908219994883004,( ),( ),0.018837949175922474,( ),( ),0.026525952418036722,0.0014320743887369083,( ),0.0005464395049781559,( ),0.0018951664080727971,0.00979349141179796,0.017078204619697203
Unnamed: 27,2006–2008,Vaud,Tot,6.9150501483013365,66.02429173237452,6.435707340423544,57.915474629108544,2.4321077588228364,0.9928888548856615,( ),185.532871786341,( ),4.851734633257618,194.80122940928973,27.871915488207893,( ),10.26080588104796,( ),32.4273589224388,73.01692423022486,125.34774112992051
Unnamed: 29,2006–2008,Vaud,Pct,0.000771983924582562,0.007370834738178009,0.000718470944327918,0.0064655807896380705,0.00027151619328819575,0.00011084434941620867,( ),0.020712560491824704,( ),0.0005416390427964453,0.021747263485837883,0.0031115711734217484,( ),0.0011454981559861938,( ),0.003620132792665437,0.008151479818558247,0.013993599331858132
Unnamed: 30,2006–2008,Genève,Tot,( ),63.52917748077946,8.91618115556668,65.66539604738662,4.724062933147494,( ),( ),( ),( ),( ),151.913672179059,26.047470504746162,6.718145680009624,20.208593589615678,( ),14.789220631995947,92.47478647505505,112.8827606748098
Unnamed: 32,2006–2008,Genève,Pct,( ),0.006848052735743426,0.0009611092284838005,0.007078323895851331,0.0005092247904980729,( ),( ),( ),( ),( ),0.016375355067006464,0.0028077563526332405,0.0007241745876063295,0.002178361504188591,( ),0.0015941865899191609,0.009968210507673962,0.012168064009506157
