annee,canton,Total,Soins hopitaux,Soins domicile,Administration Prevention,besoin_par_habitant
1996,Appenzell Rh.-Ext.,38.84522484,37.08520274,0.1760605,1.5839616,751.6834148606235
1996,Appenzell Rh.-Int.,4.7945711,4.1557559500000005,0.36379035,0.2750248,456.2585631148676
1996,Argovie,225.31130893,206.73188340000002,1.21968385,17.35974168,543.8638837877699
1996,Berne,441.68315456,412.67175506,0.0,29.0113995,680.5775706402486
1996,Bâle-Campagne,155.88163845,149.64461941,0.284,5.95301904,679.2464868099319
1996,Bâle-Ville,377.64524519,332.58111737,3.2144002400000002,41.84972758,1928.7723631160156
1996,Espace Mittelland,806.6901327499999,740.1451513899999,10.331535449999999,56.21344591,677.5963710495726
1996,Fribourg,89.186279,76.225057,4.954393,8.006829,727.559824632721
1996,Genève,769.99683598,656.0898595799999,60.2899,53.6170764,1946.4219338236037
1996,Glaris,29.5612085,27.86742305,0.1304071,1.56337835,761.1963270901125
1996,Grisons,91.74550529999999,81.41255045,5.4627444,4.87021045,639.070444887048
1996,Jura,32.024324,27.874642,1.891283,2.258399,827.2645934875192
1996,Lucerne,137.87498699,127.45702375,0.77603,9.641933239999998,495.84395828871664
1996,Neuchâtel,90.72194609,76.40799994999999,3.48505945,10.82888669,553.8873289819905
1996,Nidwald,27.46608939,27.043577640000002,0.110978,0.31153374999999994,813.5152977286679
1996,Obwald,29.43451883,28.368477950000003,0.0021492,1.06389168,1046.6283289310377
1996,Région lémanique,1434.96337849,1254.2341955499999,81.58528937,99.14389357,1138.6274385066736
1996,Saint-Gall,226.21911306,204.92603535,4.082415950000001,17.21066176,548.1464616651068
1996,Schaffhouse,63.179151770000004,56.84342108,1.1461128500000002,5.1896178399999995,898.200306297243
1996,Schwytz,20.150611050000002,17.8035298,0.8862040999999999,1.4608771500000002,306.37618805704824
1996,Soleure,153.0744291,146.96569738,0.0008,6.10793172,661.4997818323567
1996,Suisse centrale,295.59312381,268.14375822,4.2457771,23.203588489999998,556.4115981652712
1996,Suisse du Nord-Ouest,758.83819257,688.95762018,4.71808409,65.1624883,859.8337584112631
1996,Suisse orientale,544.69809236,495.99212341000003,11.361531150000001,37.3444378,583.9531074743617
1996,Tessin,210.53984355,181.56000494,7.37705275,21.60278586,705.7744268778637
1996,Thurgovie,90.35331779,83.70173479,0.0,6.651583,442.25181181328486
1996,Total,4648.4325975,4180.969061950001,133.66676191,333.7967736399999,766.5037152474316
1996,Uri,22.048788350000002,20.807115149999998,0.150625,1.0910482,645.369709590917
1996,Valais,167.550184,150.151738,0.488672,16.909774,763.218403457122
1996,Vaud,497.41635851,447.99259796999996,20.80671737,28.61704317,783.9837271604177
1996,Zoug,58.618129200000006,46.66403393,2.3197908,9.63430447,809.1983022510108
1996,Zurich,597.1098339700001,551.93620826,14.047492,31.12613371,703.3362874388895
1997,Appenzell Rh.-Ext.,30.92502724,29.07738384,0.16649155,1.68115185,606.531995044063
1997,Appenzell Rh.-Int.,4.105220999999999,3.288954,0.537282,0.278985,370.10797537525065
1997,Argovie,233.55871625999998,213.9544642,0.7912216,18.81303046,538.5973432956138
1997,Berne,470.95253863999994,439.2734616899999,0.0,31.679076950000002,719.1946203378527
1997,Bâle-Campagne,171.79588190999996,164.95030933999996,0.284,6.56157257,737.9630093193765
1997,Bâle-Ville,346.82959752,312.27768942,2.88807111,31.663836990000004,1800.202279052046
1997,Espace Mittelland,845.7171601499998,777.5305030099998,8.3276599,59.85899724000001,724.550548516052
1997,Fribourg,102.800625,90.933582,3.697031,8.170012,705.2269853851549
1997,Genève,748.25733245,632.93595186,63.46488335,51.85649724,1880.6266192568416
1997,Glaris,37.98166351,36.236558609999996,0.12415430000000001,1.6209506,992.8453213961335
1997,Grisons,120.23471708999999,109.26398123999999,5.74591475,5.2248211,788.3468300839808
1997,Jura,34.576791,30.563695,1.311207,2.701889,852.7526920736685
1997,Lucerne,145.61338779000002,135.62460759,0.477709,9.5110712,471.33894438600765
1997,Neuchâtel,102.91495029999999,88.25075177999999,3.3186219,11.345576620000001,919.0307744292458
1997,Nidwald,22.331623720000003,21.774063920000003,0.04032875,0.51723105,661.5160675836494
1997,Obwald,20.456533749999995,19.354266149999997,0.0020723499999999997,1.10019525,797.6926893819333
1997,Région lémanique,1395.7661231900001,1199.4638442700002,94.07109405,102.23118487,1093.7755216754504
1997,Saint-Gall,215.65942862,195.40727622,2.1575577999999997,18.0945946,509.84425020301364
1997,Schaffhouse,64.50203419,58.39018834,1.2406075,4.87123835,924.6996009162428
1997,Schwytz,28.531127750000003,26.6434418,0.37437645,1.5133095,413.1367313437657
1997,Soleure,134.47225521,128.50901254,0.0008,5.96244267,593.530363990357
1997,Suisse centrale,302.91598826000006,277.57126807000003,2.90770115,22.437019040000003,551.9712395001767
1997,Suisse du Nord-Ouest,752.1841956899999,691.18246296,3.9632927099999997,57.03844002,843.2760685269789
1997,Suisse orientale,558.26230575,509.45640796,9.9760079,38.82988989,585.4022158659318
1997,Tessin,209.34558840999998,179.03746908999997,7.5514583,22.75666102,877.7898676358757
1997,Thurgovie,84.8542141,77.79206570999999,0.004,7.05814839,393.2779126511379
1997,Total,4568.796413149999,4092.9201049299995,138.86823601,337.00807221,761.9810652611638
1997,Uri,25.14380765,23.6013743,0.314503,1.22793035,740.4105961119394
1997,Valais,167.021097,150.088489,0.545067,16.387541,729.639230692147
1997,Vaud,480.48769374,416.43940341,30.0611437,33.987146630000005,744.9673963050392
1997,Zoug,60.8395076,50.57351430999999,1.6987116,8.567281690000002,831.8136340921121
