annee,canton,Total,Constructions,Améliorations,Acquisition,Entretien Construction,Entretien Exploitation,Administration,Surveillance Policiere,Depense_habitants
1996,Saint-Gall,165806.0,6975,49728,3625,27236,66348,8081.0,3813,374
1996,Schaffhouse,24583.0,344,7233,299,2663,9999,1413.0,2633,334
1996,Schwytz,24365.0,1026,7497,191,4179,9905,1536.0,30,199
1996,Soleure,70187.0,6046,20423,5671,7008,26168,3096.0,1775,294
1996,Suisse centrale,165132.0,5009,46884,7272,22688,67027,9016.0,7237,251
1996,Suisse du Nord-Ouest,152686.0,4200,40699,2172,16110,73466,12161.0,3877,190
1996,Suisse orientale,369880.0,13257,107755,7774,53003,158751,18560.0,10784,357
1996,Tessin,83411.0,9097,12340,3659,7673,38220,4518.0,7903,291
1996,Thurgovie,63544.0,4958,23704,1654,7489,21151,3930.0,658,283
1996,Total,2058297.0,70707,500446,40911,232912,937816,123372.0,152133,298
1996,Uri,3883.0,192,806,66,631,1932,257.0,0,111
1996,Valais,68850.0,4843,17818,1725,6381,31337,4200.0,2546,267
1996,Vaud,234874.0,4759,57993,1048,24966,116567,10115.0,19426,381
1996,Zoug,23404.0,914,4203,190,3529,11717,1081.0,1770,251
1996,Zurich,366884.0,9224,79511,6253,28363,171399,26422.0,45712,307
1997,Appenzell Rh.-Ext.,11513.0,7,1888,59,1795,7151,614.0,0,215
1997,Appenzell Rh.-Int.,4771.0,103,1667,210,558,1916,224.0,93,330
1997,Argovie,84725.0,2463,26096,1635,11327,32878,5514.0,4810,160
1997,Berne,300488.0,24218,53953,1598,29360,142407,17361.0,31591,317
1997,Bâle-Campagne,64157.0,1764,14389,555,4698,35963,5997.0,791,254
1997,Bâle-Ville   2),5829.0,24,985,42,483,3556,739.0,0,269
1997,Espace Mittelland,511898.0,36572,112427,9462,49269,235356,28684.0,40129,310
1997,Fribourg,69015.0,3781,25027,1283,6442,27653,3800.0,1029,299
1997,Genève,113676.0,5415,23161,865,20943,47415,2688.0,13188,285
1997,Glaris,8018.0,276,2691,115,915,3722,299.0,0,211
1997,Grisons,93888.0,536,21143,1898,12683,49651,4108.0,3869,500
1997,Jura,10298.0,799,2814,26,735,4408,602.0,914,153
1997,Lucerne,94742.0,2653,28016,6510,11926,35558,5403.0,4676,278
1997,Neuchâtel,53022.0,962,7624,166,4837,31002,3433.0,4998,320
1997,Nidwald,5292.0,0,1198,90,369,3439,196.0,0,146
1997,Obwald,16650.0,339,6577,385,2681,5918,714.0,36,528
1997,Région lémanique,430040.0,15908,102244,3955,53461,199081,17775.0,37615,338
1997,Saint-Gall,147794.0,6217,44326,3231,24278,57400,7203.0,5139,333
1997,Schaffhouse,20371.0,285,5993,248,2206,8011,1171.0,2457,278
1997,Schwytz,28344.0,1194,8722,222,4861,11504,1787.0,54,229
1997,Soleure,79075.0,6812,23009,6389,7895,29886,3488.0,1597,330
1997,Suisse centrale,171594.0,5267,49403,7460,23893,69896,9413.0,6262,259
1997,Suisse du Nord-Ouest,154711.0,4251,41470,2232,16508,72397,12250.0,5601,192
1997,Suisse orientale,347231.0,12174,100417,7346,49609,148105,17384.0,12197,335
1997,Tessin,83934.0,9155,12417,3682,7721,38186,4546.0,8227,293
1997,Thurgovie,60876.0,4750,22709,1585,7174,20254,3765.0,639,271
1997,Total,2068177.0,92600,498297,40421,228970,932835,116611.0,158443,299
1997,Uri,4264.0,210,885,72,693,2121,282.0,0,122
1997,Valais,81533.0,5735,21101,2042,7557,36739,4974.0,3385,316
1997,Vaud,234831.0,4758,57982,1048,24961,114927,10113.0,21042,380
1997,Zoug,22302.0,871,4005,181,3363,11356,1031.0,1496,236
1997,Zurich,368768.0,9272,79919,6285,28509,169814,26558.0,48412,308
1998,Appenzell Rh.-Ext.,11304.0,0,1824,-43,868,7927,728.0,0,211
1998,Appenzell Rh.-Int.,3873.0,0,1487,163,550,1412,198.0,63,267
1998,Argovie,127303.0,11743,32701,9244,9870,50306,6549.0,6890,239
1998,Berne,291930.0,14955,55652,4848,18590,150057,15672.0,32156,308
1998,Bâle-Campagne,72155.0,940,17008,472,6503,40719,5751.0,762,284
1998,Bâle-Ville   2),5733.0,23,819,195,555,3431,710.0,0,265
1998,Espace Mittelland,499471.0,23471,111896,7195,33816,257583,26445.0,39065,302
1998,Fribourg,66172.0,1696,28143,85,5511,26132,3447.0,1158,284
1998,Genève,114917.0,1389,13700,108,17893,65183,3701.0,12943,287
1998,Glaris,9310.0,796,2942,3,925,4237,407.0,0,243
1998,Grisons,86406.0,10556,20333,451,2479,45361,3134.0,4092,461
1998,Jura,17594.0,1125,5371,23,86,9105,1088.0,796,261
1998,Lucerne,88875.0,1426,21846,5914,8699,41794,4805.0,4391,260
1998,Neuchâtel,68831.0,2670,9193,329,4412,45702,3002.0,3523,415
1998,Nidwald,6047.0,0,2023,9,743,2975,297.0,0,167
1998,Obwald,9757.0,74,2685,287,1747,4435,493.0,36,307
1998,Région lémanique,403465.0,13756,61650,6444,45475,221358,14521.0,40261,313
1998,Saint-Gall,163720.0,11674,37052,1635,29110,67003,9079.0,8167,369
1998,Schaffhouse,20271.0,151,4172,457,1061,10318,1674.0,2438,277
1998,Schwytz,32213.0,245,11244,413,3162,14652,2405.0,92,257
1998,Soleure,54944.0,3025,13537,1910,5217,26587,3236.0,1432,228
