,canton,sexe,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
43,Schaffhausen,Homme,35218,35378,35569,35636,35592,35480,35395,35332,35245,35829,36019,36291,36288,36267,36438,36627,36943,37337,37501
44,Schaffhausen,Femme,37408,37685,37950,38028,37964,37863,37838,37783,37607,37561,37668,37884,37877,37849,37897,37971,38102,38354,38605
45,Appenzell Ausserrhoden,Sexe - Total,53045,53668,54002,54009,53847,53673,53496,53390,53167,52924,52732,52701,52540,52410,52280,52345,52517,52681,52590
46,Appenzell Ausserrhoden,Homme,26224,26490,26667,26728,26675,26621,26534,26487,26423,26316,26224,26244,26184,26121,26079,26162,26277,26402,26406
47,Appenzell Ausserrhoden,Femme,26821,27178,27335,27281,27172,27052,26962,26903,26744,26608,26508,26457,26356,26289,26201,26183,26240,26279,26184
48,Appenzell Innerrhoden,Sexe - Total,14145,14307,14372,14382,14434,14457,14487,14520,14663,14724,14706,14676,14675,14987,15140,15028,15147,15517,15813
49,Appenzell Innerrhoden,Homme,7238,7303,7343,7343,7353,7372,7392,7408,7452,7487,7491,7487,7523,7697,7769,7711,7766,7952,8117
50,Appenzell Innerrhoden,Femme,6907,7004,7029,7039,7081,7085,7095,7112,7211,7237,7215,7189,7152,7290,7371,7317,7381,7565,7696
51,St. Gallen,Sexe - Total,432835,435992,439650,442073,443395,443320,443838,445797,447670,452894,455479,457879,459377,460917,463020,465852,470268,474316,477196
52,St. Gallen,Homme,214841,216033,217634,218701,219172,218935,219183,220253,221156,224232,225475,226669,227486,228276,229633,231424,233989,236053,237479
53,St. Gallen,Femme,217994,219959,222016,223372,224223,224385,224655,225544,226514,228662,230004,231210,231891,232641,233387,234428,236279,238263,239717
54,Graubünden / Grigioni / Grischun,Sexe - Total,183100,185163,187809,189247,189284,187781,187288,187572,188098,189967,190144,191196,191618,191297,191441,191878,193035,194753,195401
55,Graubünden / Grigioni / Grischun,Homme,91543,92362,93756,94419,94235,93063,92636,92706,93013,94290,94404,94950,95168,94950,95159,95413,96052,97063,97408
56,Graubünden / Grigioni / Grischun,Femme,91557,92801,94053,94828,95049,94718,94652,94866,95085,95677,95740,96246,96450,96347,96282,96465,96983,97690,97993
57,Aargau,Sexe - Total,510016,515152,520085,525360,528860,530936,533198,536746,540445,547727,553404,558885,563334,567228,572719,578790,587471,596795,604329
58,Aargau,Homme,255182,257381,259583,261965,263403,264207,265125,266706,268706,273306,276044,278592,280823,282908,286003,289361,294090,298941,302447
59,Aargau,Femme,254834,257771,260502,263395,265457,266729,268073,270040,271739,274421,277360,280293,282511,284320,286716,289429,293381,297854,301882
60,Thurgau,Sexe - Total,212960,215847,219114,222374,224256,224960,225717,226619,227047,228174,229253,231461,232953,234021,235922,238141,240656,244069,246856
61,Thurgau,Homme,106270,107557,109053,110646,111487,111675,111990,112346,112562,113588,114077,115172,115973,116518,117652,118953,120274,122072,123577
62,Thurgau,Femme,106690,108290,110061,111728,112769,113285,113727,114273,114485,114586,115176,116289,116980,117503,118270,119188,120382,121997,123279
63,Ticino,Sexe - Total,289239,294292,297329,300446,301393,301139,301781,303836,308467,310964,312962,316521,319394,322145,324837,327632,331600,333567,336896
64,Ticino,Homme,137929,140468,141733,143247,143657,143401,143715,144834,147346,148088,149255,151369,152899,154391,155808,157278,159404,160584,162358
65,Ticino,Femme,151310,153824,155596,157199,157736,157738,158066,159002,161121,162876,163707,165152,166495,167754,169029,170354,172196,172983,174538
66,Vaud,Sexe - Total,605664,607266,610641,614807,616802,617219,619893,623912,628501,634875,640842,648526,656405,663530,671432,678143,690870,704916,716483
67,Vaud,Homme,293766,293681,295143,297214,298030,297896,299160,301249,303591,307544,310791,314902,318802,322415,326548,329989,336394,343576,349770
68,Vaud,Femme,311898,313585,315498,317593,318772,319323,320733,322663,324910,327331,330051,333624,337603,341115,344884,348154,354476,361340,366713
69,Valais / Wallis,Sexe - Total,259682,264016,266541,268692,269357,269437,270347,271444,272524,275765,278762,283590,286549,289527,293304,296923,301045,305178,309325
70,Valais / Wallis,Homme,128770,130546,131661,132524,132659,132442,132718,133138,133614,135368,137122,139903,141248,142835,144892,146842,149208,151219,153292
71,Valais / Wallis,Femme,130912,133470,134880,136168,136698,136995,137629,138306,138910,140397,141640,143687,145301,146692,148412,150081,151837,153959,156033
72,Neuchâtel,Sexe - Total,163814,164240,164944,165638,166079,165877,165956,166096,166092,166939,167553,168171,168676,169259,169407,169895,171095,172263,172378
73,Neuchâtel,Homme,79322,79399,79640,79931,80095,79988,80050,80948,80997,80753,81019,81376,81633,81954,82099,82397,83117,83716,83713
74,Neuchâtel,Femme,84492,84841,85304,85707,85984,85889,85906,85148,85095,86186,86534,86795,87043,87305,87308,87498,87978,88547,88665
75,Genève,Sexe - Total,387194,388779,392531,395876,395972,398300,400623,404080,409048,416356,422193,427914,432235,436721,439785,441756,446957,453674,459210
76,Genève,Homme,184667,185130,186811,188450,188082,189260,190552,192304,194696,198624,201685,204559,206836,209141,210860,212062,214806,218413,221182
77,Genève,Femme,202527,203649,205720,207426,207890,209040,210071,211776,214352,217732,220508,223355,225399,227580,228925,229694,232151,235261,238028
78,Jura,Sexe - Total,66786,67140,67456,67744,67624,67383,67370,67281,67164,67817,67814,67916,67893,67898,68027,68233,68497,68709,68860
79,Jura,Homme,32801,32974,33157,33282,33192,32989,32993,32945,32875,33310,33297,33342,33338,33330,33382,33487,33637,33727,33828
80,Jura,Femme,33985,34166,34299,34462,34432,34394,34377,34336,34289,34507,34517,34574,34555,34568,34645,34746,34860,34982,35032
