annee,canton,Total,Constructions,Amélio-,Acquisition,Entretien Construction,Entretien Exploitation,Administration,Surveillance Policiere
1996,Suisse du Nord-Ouest,261773.0,9732,107848,-1407,28960,77940,9423.0,29276
1996,Tessin,187645.0,0,121590,6974,10822,38228,6534.0,3497
1996,Thurgovie,55678.0,11868,17022,426,4050,15735,1493.0,5085
1996,Total,1773413.0,73253,625126,35263,196522,524550,96878.0,221823
1996,Uri,26989.0,0,11051,355,2797,8254,2008.0,2524
1996,Valais,109358.0,0,31767,6505,9393,38906,6696.0,16091
1996,Vaud,114631.0,21600,9815,3438,7161,43953,11568.0,17094
1996,Zentralschweiz,169812.0,2790,59814,6883,15939,49385,12068.0,22934
1996,Zoug,26291.0,2790,9821,47,796,6566,2751.0,3520
1996,Zurich,140678.0,4197,21751,3500,21739,55963,4374.0,29153
1997,Appenzell Rh.-Ext.,28341.0,0,15279,800,2680,5078,1324.0,3180
1997,Appenzell Rh.-Int.,5446.0,718,2055,0,293,1291,584.0,505
1997,Argovie,89805.0,3802,42188,2277,7889,18596,4085.0,10969
1997,Berne,184991.0,5829,48308,0,33472,57848,7710.0,31824
1997,Bâle-Campagne,104127.0,42772,17697,1210,13897,15354,3370.0,9827
1997,Bâle-Ville,73249.0,259,10838,189,8423,37393,2335.0,13813
1997,Espace Mittelland,358317.0,28895,93365,931,43602,106810,23589.0,61125
1997,Fribourg,54027.0,3316,15412,345,3673,15050,5202.0,11029
1997,Genève,45213.0,91,8425,465,2496,17689,4732.0,11315
1997,Glaris,11416.0,0,3181,24,836,2611,2001.0,2764
1997,Grisons,198272.0,0,101234,2364,32813,44689,6564.0,10608
1997,Jura,24712.0,8636,1435,113,3334,6510,1525.0,3159
1997,Lucerne,58871.0,0,18183,1795,8618,17150,3447.0,9677
1997,Neuchâtel,45406.0,11114,3544,136,2589,14138,5730.0,8155
1997,Nidwald,9371.0,0,1645,29,630,4791,462.0,1814
1997,Obwald,5175.0,48,836,18,1199,1345,423.0,1306
1997,Région lémanique,264935.0,10480,63659,10735,21854,94186,18185.0,45836
1997,Schaffhouse,11002.0,0,1817,3,900,4201,1691.0,2389
1997,Schwytz,34770.0,0,18671,316,1472,7779,2281.0,4250
1997,Soleure,49181.0,0,24666,337,534,13264,3422.0,6958
1997,St. Gall,79203.0,0,31635,6309,13681,17930,1430.0,8219
1997,Suisse centrale,395751.0,16899,175857,9858,54596,91382,14598.0,32561
1997,Suisse du Nord-Ouest,267181.0,46833,70723,3676,30209,71343,9790.0,34609
1997,Tessin,162079.0,58766,43404,5513,7587,36009,7304.0,3497
1997,Thurgovie,62071.0,16181,20656,358,3393,15582,1004.0,4896
1997,Total,1765068.0,177835,523741,39131,196702,503313,91276.0,233073
1997,Uri,24810.0,0,9841,369,3167,6840,1711.0,2882
1997,Valais,120780.0,0,39794,9919,12211,35830,6991.0,16035
1997,Vaud,98942.0,10389,15440,351,7147,40667,6462.0,18486
