,agglo_index,agglo,type_index,type,2011,2012,2013,2014
239,5192920.0,Lugano: agglomération,11.0,Blessés graves dans les accidents de la route pour 10'000 habitants,10.96,9.14,8.4,7.25
240,5586901.0,Lausanne: ville-centre,2.0,Homicides,1.0,1.0,0.0,1.0
241,5586901.0,Lausanne: ville-centre,3.0,Homicides pour 10'000 habitants,0.08,0.08,0.0,0.01
242,5586901.0,Lausanne: ville-centre,4.0,Vols de voitures,5.0,60.0,41.0,47.0
243,5586901.0,Lausanne: ville-centre,5.0,Vols de voitures pour 1000 habitants,0.04,0.46,0.31,0.35
244,5586901.0,Lausanne: ville-centre,6.0,Vols par effraction dans les logements,931.0,1238.0,1259.0,1345.0
245,5586901.0,Lausanne: ville-centre,7.0,Vols par effraction dans les logements pour 1000 habitants,7.28,9.57,9.65,10.13
246,5586901.0,Lausanne: ville-centre,8.0,Personnes tuées dans les accidents de la route,4.0,1.0,1.0,2.0
247,5586901.0,Lausanne: ville-centre,9.0,Personnes tuées dans les accidents de la route pour 10'000 habitants,0.31,0.08,0.08,0.15
248,5586901.0,Lausanne: ville-centre,10.0,Blessés graves dans les accidents de la route,69.0,78.0,75.0,65.0
249,5586901.0,Lausanne: ville-centre,11.0,Blessés graves dans les accidents de la route pour 10'000 habitants,5.4,6.03,5.75,4.9
250,5586910.0,Lausanne: ceinture de l'agglomération,2.0,Homicides,1.0,3.0,1.0,2.0
251,5586910.0,Lausanne: ceinture de l'agglomération,3.0,Homicides pour 10'000 habitants,0.05,0.14,0.05,0.01
252,5586910.0,Lausanne: ceinture de l'agglomération,4.0,Vols de voitures,0.0,61.0,55.0,72.0
253,5586910.0,Lausanne: ceinture de l'agglomération,5.0,Vols de voitures pour 1000 habitants,0.0,0.29,0.26,0.33
254,5586910.0,Lausanne: ceinture de l'agglomération,6.0,Vols par effraction dans les logements,1296.0,1549.0,1288.0,1387.0
255,5586910.0,Lausanne: ceinture de l'agglomération,7.0,Vols par effraction dans les logements pour 1000 habitants,6.2,7.28,5.99,6.34
256,5586910.0,Lausanne: ceinture de l'agglomération,8.0,Personnes tuées dans les accidents de la route,3.0,8.0,5.0,6.0
257,5586910.0,Lausanne: ceinture de l'agglomération,9.0,Personnes tuées dans les accidents de la route pour 10'000 habitants,0.14,0.38,0.23,0.27
258,5586910.0,Lausanne: ceinture de l'agglomération,10.0,Blessés graves dans les accidents de la route,75.0,68.0,98.0,94.0
259,5586910.0,Lausanne: ceinture de l'agglomération,11.0,Blessés graves dans les accidents de la route pour 10'000 habitants,3.59,3.2,4.56,4.3
260,5586920.0,Lausanne: agglomération,2.0,Homicides,2.0,4.0,1.0,3.0
261,5586920.0,Lausanne: agglomération,3.0,Homicides pour 10'000 habitants,0.06,0.12,0.03,0.01
262,5586920.0,Lausanne: agglomération,4.0,Vols de voitures,5.0,121.0,96.0,119.0
263,5586920.0,Lausanne: agglomération,5.0,Vols de voitures pour 1000 habitants,0.01,0.35,0.28,0.34
264,5586920.0,Lausanne: agglomération,6.0,Vols par effraction dans les logements,2227.0,2787.0,2547.0,2732.0
265,5586920.0,Lausanne: agglomération,7.0,Vols par effraction dans les logements pour 1000 habitants,6.61,8.15,7.38,7.77
266,5586920.0,Lausanne: agglomération,8.0,Personnes tuées dans les accidents de la route,7.0,9.0,6.0,8.0
267,5586920.0,Lausanne: agglomération,9.0,Personnes tuées dans les accidents de la route pour 10'000 habitants,0.21,0.26,0.17,0.23
268,5586920.0,Lausanne: agglomération,10.0,Blessés graves dans les accidents de la route,144.0,146.0,173.0,159.0
269,5586920.0,Lausanne: agglomération,11.0,Blessés graves dans les accidents de la route pour 10'000 habitants,4.28,4.27,5.01,4.52
270,6621901.0,Genève: ville-centre,2.0,Homicides,5.0,0.0,3.0,3.0
271,6621901.0,Genève: ville-centre,3.0,Homicides pour 10'000 habitants,0.27,0.0,0.16,0.02
272,6621901.0,Genève: ville-centre,4.0,Vols de voitures,151.0,162.0,145.0,134.0
273,6621901.0,Genève: ville-centre,5.0,Vols de voitures pour 1000 habitants,0.81,0.86,0.77,0.7
274,6621901.0,Genève: ville-centre,6.0,Vols par effraction dans les logements,1968.0,1375.0,1152.0,1237.0
275,6621901.0,Genève: ville-centre,7.0,Vols par effraction dans les logements pour 1000 habitants,10.5,7.3,6.09,6.46
276,6621901.0,Genève: ville-centre,8.0,Personnes tuées dans les accidents de la route,3.0,5.0,4.0,6.0
277,6621901.0,Genève: ville-centre,9.0,Personnes tuées dans les accidents de la route pour 10'000 habitants,0.16,0.27,0.21,0.31
278,6621901.0,Genève: ville-centre,10.0,Blessés graves dans les accidents de la route,133.0,151.0,187.0,177.0
279,6621901.0,Genève: ville-centre,11.0,Blessés graves dans les accidents de la route pour 10'000 habitants,7.09,8.02,9.89,9.24
280,6621910.0,Genève: ceinture suisse de l'agglomération,2.0,Homicides,2.0,7.0,4.0,0.0
281,6621910.0,Genève: ceinture suisse de l'agglomération,3.0,Homicides pour 10'000 habitants,0.06,0.2,0.11,0.0
282,6621910.0,Genève: ceinture suisse de l'agglomération,4.0,Vols de voitures,224.0,267.0,211.0,238.0
283,6621910.0,Genève: ceinture suisse de l'agglomération,5.0,Vols de voitures pour 1000 habitants,0.65,0.77,0.6,0.67
284,6621910.0,Genève: ceinture suisse de l'agglomération,6.0,Vols par effraction dans les logements,2672.0,2649.0,2037.0,2184.0
285,6621910.0,Genève: ceinture suisse de l'agglomération,7.0,Vols par effraction dans les logements pour 1000 habitants,7.77,7.63,5.83,6.16
286,6621910.0,Genève: ceinture suisse de l'agglomération,8.0,Personnes tuées dans les accidents de la route,14.0,11.0,10.0,5.0
287,6621910.0,Genève: ceinture suisse de l'agglomération,9.0,Personnes tuées dans les accidents de la route pour 10'000 habitants,0.41,0.32,0.29,0.14
288,6621910.0,Genève: ceinture suisse de l'agglomération,10.0,Blessés graves dans les accidents de la route,190.0,216.0,234.0,240.0
289,6621910.0,Genève: ceinture suisse de l'agglomération,11.0,Blessés graves dans les accidents de la route pour 10'000 habitants,5.53,6.22,6.7,6.77
290,6621920.0,Genève: agglomération nationale,2.0,Homicides,7.0,7.0,7.0,3.0
291,6621920.0,Genève: agglomération nationale,3.0,Homicides pour 10'000 habitants,0.13,0.13,0.13,0.01
292,6621920.0,Genève: agglomération nationale,4.0,Vols de voitures,375.0,429.0,356.0,372.0
293,6621920.0,Genève: agglomération nationale,5.0,Vols de voitures pour 1000 habitants,0.71,0.8,0.66,0.68
294,6621920.0,Genève: agglomération nationale,6.0,Vols par effraction dans les logements,4640.0,4024.0,3189.0,3421.0
295,6621920.0,Genève: agglomération nationale,7.0,Vols par effraction dans les logements pour 1000 habitants,8.73,7.51,5.92,6.26
296,6621920.0,Genève: agglomération nationale,8.0,Personnes tuées dans les accidents de la route,17.0,16.0,14.0,11.0
297,6621920.0,Genève: agglomération nationale,9.0,Personnes tuées dans les accidents de la route pour 10'000 habitants,0.32,0.3,0.26,0.2
298,6621920.0,Genève: agglomération nationale,10.0,Blessés graves dans les accidents de la route,323.0,367.0,421.0,417.0
299,6621920.0,Genève: agglomération nationale,11.0,Blessés graves dans les accidents de la route pour 10'000 habitants,6.08,6.85,7.82,7.64
300,6621920.0,Genève: agglomération nationale,11.0,Blessés graves dans les accidents de la route pour 10'000 habitants,,,,
