,agglo_index,agglo,type_index,type,2011,2012,2013,2014
55,261920.0,Zurich: agglomération,7.0,Vols par effraction dans les logements pour 1000 habitants,2.46,3.42,2.39,2.14
56,261920.0,Zurich: agglomération,8.0,Personnes tuées dans les accidents de la route,34.0,33.0,30.0,26.0
57,261920.0,Zurich: agglomération,9.0,Personnes tuées dans les accidents de la route pour 10'000 habitants,0.29,0.27,0.25,0.21
58,261920.0,Zurich: agglomération,10.0,Blessés graves dans les accidents de la route,574.0,548.0,564.0,525.0
59,261920.0,Zurich: agglomération,11.0,Blessés graves dans les accidents de la route pour 10'000 habitants,4.83,4.55,4.63,4.26
60,351901.0,Berne: ville-centre,2.0,Homicides,0.0,0.0,3.0,0.0
61,351901.0,Berne: ville-centre,3.0,Homicides pour 10'000 habitants,0.0,0.0,0.24,0.0
62,351901.0,Berne: ville-centre,4.0,Vols de voitures,26.0,17.0,18.0,13.0
63,351901.0,Berne: ville-centre,5.0,Vols de voitures pour 1000 habitants,0.21,0.14,0.14,0.1
64,351901.0,Berne: ville-centre,6.0,Vols par effraction dans les logements,721.0,559.0,616.0,303.0
65,351901.0,Berne: ville-centre,7.0,Vols par effraction dans les logements pour 1000 habitants,5.8,4.45,4.83,2.35
66,351901.0,Berne: ville-centre,8.0,Personnes tuées dans les accidents de la route,10.0,3.0,3.0,0.0
67,351901.0,Berne: ville-centre,9.0,Personnes tuées dans les accidents de la route pour 10'000 habitants,0.8,0.24,0.24,0.0
68,351901.0,Berne: ville-centre,10.0,Blessés graves dans les accidents de la route,41.0,42.0,50.0,57.0
69,351901.0,Berne: ville-centre,11.0,Blessés graves dans les accidents de la route pour 10'000 habitants,3.3,3.34,3.92,4.42
70,351910.0,Berne: ceinture de l'agglomération,2.0,Homicides,1.0,1.0,2.0,0.0
71,351910.0,Berne: ceinture de l'agglomération,3.0,Homicides pour 10'000 habitants,0.04,0.04,0.09,0.0
72,351910.0,Berne: ceinture de l'agglomération,4.0,Vols de voitures,26.0,29.0,28.0,35.0
73,351910.0,Berne: ceinture de l'agglomération,5.0,Vols de voitures pour 1000 habitants,0.11,0.13,0.12,0.15
74,351910.0,Berne: ceinture de l'agglomération,6.0,Vols par effraction dans les logements,449.0,685.0,562.0,333.0
75,351910.0,Berne: ceinture de l'agglomération,7.0,Vols par effraction dans les logements pour 1000 habitants,1.96,2.97,2.44,1.43
76,351910.0,Berne: ceinture de l'agglomération,8.0,Personnes tuées dans les accidents de la route,7.0,6.0,4.0,0.0
77,351910.0,Berne: ceinture de l'agglomération,9.0,Personnes tuées dans les accidents de la route pour 10'000 habitants,0.31,0.26,0.17,0.0
78,351910.0,Berne: ceinture de l'agglomération,10.0,Blessés graves dans les accidents de la route,60.0,77.0,95.0,93.0
79,351910.0,Berne: ceinture de l'agglomération,11.0,Blessés graves dans les accidents de la route pour 10'000 habitants,2.62,3.34,4.13,3.99
80,351920.0,Berne: agglomération,2.0,Homicides,1.0,1.0,5.0,0.0
81,351920.0,Berne: agglomération,3.0,Homicides pour 10'000 habitants,0.03,0.03,0.14,0.0
82,351920.0,Berne: agglomération,4.0,Vols de voitures,52.0,46.0,46.0,48.0
83,351920.0,Berne: agglomération,5.0,Vols de voitures pour 1000 habitants,0.15,0.13,0.13,0.13
84,351920.0,Berne: agglomération,6.0,Vols par effraction dans les logements,1170.0,1244.0,1178.0,636.0
85,351920.0,Berne: agglomération,7.0,Vols par effraction dans les logements pour 1000 habitants,3.31,3.49,3.29,1.76
86,351920.0,Berne: agglomération,8.0,Personnes tuées dans les accidents de la route,17.0,9.0,7.0,0.0
87,351920.0,Berne: agglomération,9.0,Personnes tuées dans les accidents de la route pour 10'000 habitants,0.48,0.25,0.2,0.0
88,351920.0,Berne: agglomération,10.0,Blessés graves dans les accidents de la route,101.0,119.0,145.0,150.0
89,351920.0,Berne: agglomération,11.0,Blessés graves dans les accidents de la route pour 10'000 habitants,2.86,3.34,4.05,4.15
90,371901.0,Biel/Bienne: ville-centre,2.0,Homicides,2.0,0.0,0.0,0.0
